,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
FreezerSmallTrain,0.8368053322168933,0.3390675060662846,0.27751308018963455,0.28980967780908645,0.055444147199649206,0.14985504223339152,-2.519719241913092e-05,0.0586547342066187,0.0002222400592105,0.244562646214877,0.0,0.2750266342725249,0.0084382392060403,0.0,0.2905600301021225,0.2068972319282405,5.31403394198264e-05,0.2735709966987277,28,2850,301,2,SENSOR
UWaveGestureLibraryZ,0.16021640438204734,0.2738515031829664,0.33334315713698115,0.30510514232716446,0.08734391460981407,0.33667749219950815,0.0452646458992139,0.0360641601448693,6.015108263621013e-07,0.3211844028182916,0.0,0.2030914563634652,0.0705685628268135,0.0,0.2941312998506773,0.0,0.3551936073033636,0.3346987103808134,896,3582,315,8,MOTION
NonInvasiveFetalECGThorax1,0.31557534794941805,0.3190375268268287,0.4239376493659924,0.43118834512241566,0.15604001085392688,0.1053140869690573,0.0020063163349822,0.0941558572341821,6.147654506930231e-05,0.4097562968024842,0.0,0.4177145974699164,0.0058979083907391,0.0,0.3713370971882672,0.0,0.4444690628020258,0.4431085850406967,1800,1965,750,42,ECG
Lightning7,0.18009752950921673,0.3163676583413989,0.33769707290371964,0.267159088216515,0.25586082307451086,0.1542246200551167,0.0318062346837206,0.0930892340736094,0.0454156027778727,0.3461482254560406,0.0,0.3036059741679404,-0.0171732297601189,0.0,0.3475397347312236,0.0555771385371282,0.3297585317255725,0.3690036509676387,70,73,319,7,SENSOR
Phoneme,0.04371471899024646,0.0406207599356091,0.03515909968076915,0.016466530971434107,0.02806026850375711,0.00020651486268514628,0.0162154503168154,1.6129139972188677e-05,0.0013346894283515,0.0039537058547948,0.0,0.0112111537914836,0.0002389503139366,0.0,0.0098910973939936,0.0,0.0249168289797415,0.0073904603174885,214,1896,1024,39,SOUND
SemgHandSubjectCh2,0.14065032185111875,0.1630765828526303,0.033160745422989565,0.21914349199968056,0.16361387239140304,0.19379697857672673,0.0,0.0242663742210929,1.1218875526506908e-05,0.0506826863678318,0.0,0.057430558605762,0.0445445469469304,0.0,0.0553497702247497,0.0,0.0828166202108928,0.1079452932628158,450,450,1500,5,SPECTRO
MiddlePhalanxOutlineAgeGroup,0.42157078886836663,0.3536923951221103,0.4255684692169207,0.42560873970580426,0.4140269545478291,0.09395839031980857,0.0392159998403062,0.1793864910191613,0.0014048912355416,0.4257326700229074,0.0,0.424094282040943,0.0142314887145672,0.0,0.4353208139573878,0.3962401420406899,0.4276836706118501,0.4352338052897912,400,154,80,3,IMAGE
DistalPhalanxOutlineCorrect,-0.001079783054162856,0.0003068432914212,-0.0010303507855207214,-0.001070553507461574,0.007074729313880571,0.07006575827398477,0.00224829939678,0.0557921092432468,0.0013681647399123,0.0042991540064901,0.0,0.0053293825525252,0.0111137358371691,0.0,0.0004864405593145,0.0,0.0030643775902612,0.0039755844952742,600,276,80,2,IMAGE
DistalPhalanxTW,0.3621961510815055,0.2908651157805967,0.6263254256076762,0.6215499654660435,0.32339689186202975,0.34652721635334033,0.5199445982288232,0.2827843475011923,0.0083764812706646,0.6997190974456315,0.0,0.524810603220165,0.2270075880042246,0.0,0.4839835644836906,0.5754387066072633,0.2112205950227627,0.7160685928723554,400,139,80,6,IMAGE
FacesUCR,0.4203649358634389,0.5865168554109726,0.4244992526838217,0.21111408958213335,0.18285127526479897,0.08989970019199418,0.1776009824583438,0.112492294388634,0.0012488887154761,0.2918534484006119,0.0,0.2020067434051252,0.0491850214138308,0.0,0.1656576882834282,0.0,0.3291990761534041,0.3036427541611822,200,2050,131,14,IMAGE
