,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
InsectEPGRegularTrain,0.4257996697596935,0.3973979691475356,0.24510626423094442,0.2161481667784388,0.4516655284933173,0.14768127683495183,0.8083304819390816,0.8923168440510546,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.866024413351247,1.0,1.0,62,249,601,3,EPG
FordA,0.03357074525112212,0.0006398834026854,0.10033174456355784,9.688965483603651e-05,0.01542087479095149,0.014017545638431814,0.0034096110457932,0.148564365600322,0.0003899604701747,4.506378957372043e-05,0.0,0.1387855703920805,0.0086513871279142,0.0,2.0921614192081338e-05,0.0,0.0010058124133108,0.0006495093105193,3601,1320,500,2,SENSOR
SwedishLeaf,0.6230378469300595,0.562478752349929,0.5575912342895839,0.5347141695401023,0.26361491674680015,0.4419075596043964,0.1411434777211629,0.6139310003093504,0.0328205623301575,0.6369662572775922,0.0,0.5490050994964125,0.1556627361481785,0.0,0.5858564303031866,0.0,0.645540248810173,0.6079942361498095,500,625,128,15,IMAGE
InlineSkate,0.06352416234111022,0.067996063349972,0.10933319558048668,0.04850317360582929,0.0808466854079261,0.037177703854871846,0.0213375716125622,0.390562948490691,0.0295574858644461,0.0717216988030062,0.0,0.0634725686349528,0.0454718265538813,0.0,0.0739483855775839,0.0,0.0605676162287393,0.0795553385876471,100,550,1882,7,MOTION
UMD,0.47245924621444113,0.198569760984401,0.20346020553642657,0.19711440915757175,0.3858519288234913,0.16703729258245356,0.2051664941760943,0.3431636533663814,0.2061819135413529,0.2052407769489933,0.0,0.1808384375629022,0.0221750109622526,0.0,0.2112902665763852,0.0,0.2119879257140891,0.2052407769489933,36,144,150,3,SIMULATED
CricketY,0.317183574757382,0.3500225568953675,0.38651005135628175,0.28344840219259604,0.1527220891210087,0.20175661773143763,0.0923052390186672,0.471234037291951,0.0319113767724449,0.3092182028735925,0.0,0.2960579916350128,0.0456797279045844,0.0,0.2768799356635827,0.0,0.3102938930188165,0.325933429553673,390,390,300,12,MOTION
WormsTwoClass,0.05041024518472291,0.0322726550132743,0.013108408699982959,0.0031697275788120844,0.0023982149150121464,0.011528098218202665,0.0001851813098422,0.21659345660569,0.0117775682489566,0.0009739657791557,0.0,0.0020245920479384,0.1549746165371317,0.0,0.0010722022639529,0.021329480578646,0.0167292497703049,0.0021973115524068,181,77,900,2,MOTION
SmoothSubspace,0.11248758842679585,0.1255958137039332,0.20448685485364057,0.359204465249416,0.4065256151847059,0.21507591866253126,0.0,0.3162821654668054,0.0128319273788937,0.5869678619060401,0.0,0.982992973307664,0.0366626673991626,0.0,0.4313608726070039,0.0,0.8825485939577523,0.5474950577277181,150,150,15,3,SIMULATED
OSULeaf,0.2565448297280911,0.4140164702062601,0.31228999392959195,0.20895191307560768,0.1644223271593454,0.18220342712107004,0.0223844616566452,0.436540460940539,0.0270566541361777,0.2535113501933433,0.0,0.2072202700607125,0.1147997235488403,0.0,0.1974513831370469,0.0,0.254747244290294,0.2585984139232766,200,242,427,6,IMAGE
Ham,0.022021673937534673,0.0156914479718068,0.03493231045332165,0.0394092401165755,0.002742968127403942,0.03350587600845822,0.0,0.2131064471632775,0.0094958090852108,0.0084977879057345,0.0,0.0013673603815456,0.0101651770787363,0.0,0.0299894752436002,0.0,0.0701935859973188,0.1557961482805664,109,105,431,2,SPECTRO
CricketX,0.28190685402240406,0.2665895704490107,0.3570661552631839,0.2570517079202669,0.2508136349768909,0.1431390451620456,0.1021757375024556,0.5092441949942161,0.0321271187745754,0.2693051843456914,0.0,0.225586102990964,0.0706150315863608,0.0,0.2478600543399906,0.0,0.2995113419322575,0.2661719030888908,390,390,300,12,MOTION
SonyAIBORobotSurface1,0.010218132758657303,0.3346969482515909,0.31639799816103864,0.3596797261317589,0.3947981555590848,0.2470673234438783,0.3148124600409459,0.2988332044231648,0.0052605469080218,0.0002527574389168,0.0,0.5474817125362148,0.0,0.0,0.0125782962181813,0.5308848580723043,0.0002527574389168,0.0002527574389168,20,601,70,2,SENSOR
ToeSegmentation1,0.2443199333677215,0.1674203402995687,0.00855357763312924,0.00021065939978534505,0.0015037245644708812,0.01450132443644297,0.1313441636557186,0.1424012623183614,0.0077154358432044,0.0122388815652616,0.0,0.000616249355293,0.1761927522702236,0.0,0.001949678704192,0.0,0.0052786486887207,0.0094214316079551,40,228,277,2,MOTION
