,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
OliveOil,0.8297175141242938,0.8595480225988702,0.8559322033898307,0.8542372881355933,0.712768361581921,0.28757062146892653,0.2875706214689265,0.7502824858757062,0.3932203389830508,0.8813559322033898,0.2875706214689265,0.8813559322033898,0.556497175141243,0.2875706214689265,0.8813559322033898,0.8338983050847457,0.8146892655367232,0.8813559322033898,30,30,570,4,SPECTRO
BME,0.7659590316573557,0.6377405338299192,0.6111980136561143,0.6136809435133457,0.7004220980757293,0.6631078005379681,0.5553072625698324,0.740471756672874,0.5557417752948479,0.6853507138423339,0.329608938547486,0.6910614525139664,0.3730602110490378,0.329608938547486,0.6106145251396649,0.571260086902545,0.6106145251396649,0.6794537554314091,30,150,128,3,SIMULATED
LargeKitchenAppliances,0.509966355140187,0.5709956386292835,0.5907994659546061,0.5457602136181576,0.5421828215398309,0.5982590120160213,0.3324432576769025,0.6678486871384067,0.3342269692923899,0.5342518914107699,0.3324432576769025,0.439640409434802,0.3606408544726301,0.3378691588785046,0.448103248776146,0.365208722741433,0.5677400979083222,0.5030209167779262,375,375,720,3,DEVICE
SonyAIBORobotSurface2,0.6827174751412312,0.698562464822497,0.5801763565487482,0.6605949427779283,0.6884813741635571,0.6471618269371079,0.5479199238428774,0.5069333555689896,0.6503324925475809,0.6492130662275124,0.5265806424714932,0.6617560609534927,0.5290091930541369,0.5265806424714932,0.6559921619311667,0.5265806424714932,0.6503324925475809,0.6492130662275124,27,953,65,2,SENSOR
Lightning2,0.5104132231404959,0.5280440771349862,0.5324517906336087,0.5298071625344353,0.510137741046832,0.5193755739210285,0.5236914600550965,0.4855371900826446,0.5209366391184573,0.6,0.5173553719008265,0.6,0.5110192837465565,0.5173553719008265,0.5482093663911846,0.5380165289256198,0.496694214876033,0.6239669421487604,60,61,637,2,SENSOR
EthanolLevel,0.6170937387042061,0.626082310836415,0.623058315094557,0.6224545487044842,0.6283102882587299,0.6196371046223877,0.2492562154174925,0.7499632576374462,0.2542670792403665,0.5960723407466842,0.2492562154174925,0.5985052809698395,0.2804614046307293,0.2492562154174925,0.6224334963237776,0.2492562154174925,0.6002748725933753,0.5677668190647182,504,500,1751,4,SPECTRO
UWaveGestureLibraryX,0.8139612488144706,0.8597792119575383,0.8519307905235065,0.8559803703171278,0.8011308855354493,0.8171130502122422,0.6646184496685938,0.8765734607222284,0.1271504008927371,0.8637188157266115,0.124804631443147,0.759615694448615,0.5200899281454724,0.124804631443147,0.8402159297039317,0.124804631443147,0.8517578256909939,0.8611138683817233,896,3582,315,8,MOTION
FreezerRegularTrain,0.9039969767700343,0.6980171168167166,0.6387089918861842,0.6442449705457375,0.5473149716572191,0.5714265495906042,0.4998752917639213,0.5293219962209625,0.4999508725130599,0.6399768811826164,0.499833277759253,0.6392717572524175,0.522375903078804,0.499833277759253,0.6485770812493054,0.6020955874180283,0.4998708458375014,0.6306077581416027,150,2850,301,2,SENSOR
Fish,0.8694883340155547,0.8592943102742531,0.7791338518215309,0.7794482194023742,0.7271584117887843,0.67578114340292,0.1404011461318051,0.8677363896848137,0.1689070814572247,0.7605075726565698,0.1404011461318051,0.7786492018010642,0.5361113385182154,0.1404011461318051,0.7992468276708964,0.1404011461318051,0.79687269750307,0.7895702005730659,175,175,463,7,IMAGE
ProximalPhalanxOutlineCorrect,0.5265614951008208,0.5261841889557246,0.5339058500107189,0.5344980390673274,0.5221831296737663,0.5036406512061943,0.5510460409336814,0.4494659453460952,0.564408126205879,0.5239082460056242,0.5636010542377583,0.5205538531381227,0.5588645506248503,0.5636010542377583,0.5302336725557699,0.5636010542377583,0.5259360143255274,0.5219611848825332,600,291,80,2,IMAGE
